PT. BANK RAKYAT INDONESIA (PERSERO) TBK.,,,,,,,,,,,,,,,,,,BANK BRI,
"Jl. Jenderal Sudirman Kav. 44-46, Jakarta 10210",,,,,,,,,,,,,,,,,,,
"Telp. 021-5758965, 45, 64, 46   Fax. 021-5700914",,,,,,,,,,,,,,,Melayani  Dengan  Setulus  Hati,,,,
Account Statement,,,,,,,,,,,,,,,,,,,
Account No,,,:,0206-01-006511-30-6 ,,,,,,,,,,,,,,,
Account Name,,,:,PT LINTAS MARGA SEDAYA,,,,,,,,,,,,,,,
Account Status,,,:,Active,,,,,,,,,,,,,,,
Today Hold Balance,,,:,0.00,,,,,,,,,,,,,,,
Period,,,:,01/01/2021 - 18/01/2021,,,,,,,,,,,,,,,
DATE,TIME,REMARK,,,,DEBET,,,CREDIT,,Ledger,,,TELLER ID,,,,,
18/01/21,09:03:33,JASAMARGA CIGS-020601006511306 SETORAN HPT TGL 15 SD 17 JANUARI 21 T:0206065:NEWBRINETSWEB,,,,0.00,,,"532,897,500.00",,"18,196,521,902.00",,,0206065   ,,,,,
18/01/21,08:02:00,000001929570262 10666155 180121 00 00035 ,,,,0.00,,,"3,689,000.00",,"17,663,624,402.00",,,0852057   ,,,,,
18/01/21,08:02:00,000001929570262 10666169 180121 00 00018 ,,,,0.00,,,"1,787,000.00",,"17,659,935,402.00",,,0852057   ,,,,,
18/01/21,08:02:00,000001929570262 10666152 180121 00 00022 ,,,,0.00,,,"2,208,000.00",,"17,658,148,402.00",,,0852057   ,,,,,
18/01/21,08:02:00,000001929570262 10666172 180121 00 00024 ,,,,0.00,,,"2,112,500.00",,"17,655,940,402.00",,,0852057   ,,,,,
18/01/21,08:02:00,000001929570262 10666170 180121 00 00019 ,,,,0.00,,,"2,045,500.00",,"17,653,827,902.00",,,0852057   ,,,,,
18/01/21,08:01:59,000001929570262 10666171 180121 00 00029 ,,,,0.00,,,"3,151,500.00",,"17,651,782,402.00",,,0852057   ,,,,,
18/01/21,08:01:58,000001929570116 10098577 180121 00 00012 ,,,,0.00,,,"852,000.00",,"17,648,630,902.00",,,0852096   ,,,,,
18/01/21,08:01:58,000001929570116 10098575 180121 00 00010 ,,,,0.00,,,"611,500.00",,"17,647,778,902.00",,,0852096   ,,,,,
18/01/21,08:01:58,000001929570116 10098578 180121 00 00004 ,,,,0.00,,,"275,000.00",,"17,647,167,402.00",,,0852096   ,,,,,
18/01/21,08:01:57,000001929570262 10666157 170121 03 00072 ,,,,0.00,,,"7,026,000.00",,"17,646,892,402.00",,,0852057   ,,,,,
18/01/21,08:01:57,000001929570262 10666154 170121 00 00015 ,,,,0.00,,,"1,848,000.00",,"17,639,866,402.00",,,0852057   ,,,,,
18/01/21,08:01:57,000001929570262 10666155 170121 03 00032 ,,,,0.00,,,"3,129,500.00",,"17,638,018,402.00",,,0852057   ,,,,,
18/01/21,08:01:57,000001929570262 10666154 170121 03 00063 ,,,,0.00,,,"6,746,000.00",,"17,634,888,902.00",,,0852057   ,,,,,
18/01/21,08:01:57,000001929570262 10666170 170121 00 00012 ,,,,0.00,,,"1,252,000.00",,"17,628,142,902.00",,,0852057   ,,,,,
18/01/21,08:01:57,000001929570262 10666156 170121 03 00059 ,,,,0.00,,,"5,943,000.00",,"17,626,890,902.00",,,0852057   ,,,,,
18/01/21,08:01:57,000001929570262 10666153 170121 03 00039 ,,,,0.00,,,"3,948,500.00",,"17,620,947,902.00",,,0852057   ,,,,,
18/01/21,08:01:57,000001929570262 10666158 170121 03 00059 ,,,,0.00,,,"5,844,500.00",,"17,616,999,402.00",,,0852057   ,,,,,
18/01/21,08:01:57,000001929570262 10666169 170121 00 00005 ,,,,0.00,,,"510,500.00",,"17,611,154,902.00",,,0852057   ,,,,,
18/01/21,08:01:57,000001929570262 10666169 170121 03 00002 ,,,,0.00,,,"114,000.00",,"17,610,644,402.00",,,0852057   ,,,,,
18/01/21,08:01:57,000001929570262 10666171 170121 03 00001 ,,,,0.00,,,"107,500.00",,"17,610,530,402.00",,,0852057   ,,,,,
18/01/21,08:01:56,000001929570262 10666155 170121 00 00013 ,,,,0.00,,,"1,113,000.00",,"17,610,422,902.00",,,0852057   ,,,,,
18/01/21,08:01:56,000001929570262 10666157 170121 00 00003 ,,,,0.00,,,"294,000.00",,"17,609,309,902.00",,,0852057   ,,,,,
18/01/21,08:01:56,000001929570262 10666171 170121 00 00014 ,,,,0.00,,,"1,344,000.00",,"17,609,015,902.00",,,0852057   ,,,,,
18/01/21,08:01:56,000001929570262 10666152 170121 00 00011 ,,,,0.00,,,"1,148,000.00",,"17,607,671,902.00",,,0852057   ,,,,,
18/01/21,08:01:56,000001929570262 10666153 170121 00 00005 ,,,,0.00,,,"630,000.00",,"17,606,523,902.00",,,0852057   ,,,,,
18/01/21,08:01:56,000001929570262 10666158 170121 00 00021 ,,,,0.00,,,"1,916,000.00",,"17,605,893,902.00",,,0852057   ,,,,,
18/01/21,08:01:56,000001929570262 10666172 170121 00 00011 ,,,,0.00,,,"1,058,500.00",,"17,603,977,902.00",,,0852057   ,,,,,
18/01/21,08:01:51,000001929570116 10098578 170121 00 00007 ,,,,0.00,,,"522,000.00",,"17,602,919,402.00",,,0852096   ,,,,,
18/01/21,08:01:51,000001929570116 10098575 170121 00 00017 ,,,,0.00,,,"1,166,500.00",,"17,602,397,402.00",,,0852096   ,,,,,
18/01/21,08:01:51,000001929570116 10098577 170121 03 00005 ,,,,0.00,,,"364,000.00",,"17,601,230,902.00",,,0852096   ,,,,,
18/01/21,08:01:51,000001929570116 10098575 170121 03 00004 ,,,,0.00,,,"110,000.00",,"17,600,866,902.00",,,0852096   ,,,,,
18/01/21,08:01:51,000001929570116 10098577 170121 00 00004 ,,,,0.00,,,"319,500.00",,"17,600,756,902.00",,,0852096   ,,,,,
18/01/21,05:16:30,EMONEYSETTLE10238924 17/01/21 90 ,,,,0.00,,,"125,000.00",,"17,600,437,402.00",,,0852038   ,,,,,
18/01/21,05:16:30,EMONEYSETTLE11011409 17/01/21 49 ,,,,0.00,,,"216,500.00",,"17,600,312,402.00",,,0852048   ,,,,,
18/01/21,05:16:29,EMONEYSETTLE10238919 17/01/21 70 ,,,,0.00,,,"449,000.00",,"17,600,095,902.00",,,0852079   ,,,,,
18/01/21,05:16:25,EMONEYSETTLE11011406 17/01/21 36 ,,,,0.00,,,"168,000.00",,"17,599,646,902.00",,,0852051   ,,,,,
18/01/21,05:16:11,EMONEYSETTLE11011413 17/01/21 46 ,,,,0.00,,,"5,000.00",,"17,599,478,902.00",,,0852052   ,,,,,
18/01/21,05:15:01,EMONEYSETTLE10238919 17/01/21 69 ,,,,0.00,,,"466,000.00",,"17,599,473,902.00",,,0852079   ,,,,,
18/01/21,05:15:01,EMONEYSETTLE11011406 17/01/21 35 ,,,,0.00,,,"48,000.00",,"17,599,007,902.00",,,0852051   ,,,,,
18/01/21,05:15:00,EMONEYSETTLE11011413 17/01/21 45 ,,,,0.00,,,"347,500.00",,"17,598,959,902.00",,,0852052   ,,,,,
18/01/21,05:14:59,EMONEYSETTLE10238920 17/01/21 58 ,,,,0.00,,,"107,500.00",,"17,598,612,402.00",,,0852052   ,,,,,
18/01/21,05:14:59,EMONEYSETTLE10238924 17/01/21 89 ,,,,0.00,,,"584,000.00",,"17,598,504,902.00",,,0852038   ,,,,,
18/01/21,05:14:59,EMONEYSETTLE11011409 17/01/21 48 ,,,,0.00,,,"45,500.00",,"17,597,920,902.00",,,0852048   ,,,,,
18/01/21,05:14:27,EMONEYSETTLE11011406 17/01/21 34 ,,,,0.00,,,"258,500.00",,"17,597,875,402.00",,,0852051   ,,,,,
